metric_name,metric_value,scenario,n,salary,i
pension,420.67411944838716,iis,15,100000,1
kz,0.05048089433380647,iis,15,100000,1
savings,319029.89081491635,iis,15,100000,2
roi,2.1149861243267547,iis,15,100000,2
irr,0.13371300247234297,iis,15,100000,2
twr,0.1388154443480636,iis,15,100000,2
pension,1177.6362028848143,iis,15,100000,2
kz,0.14131634434617774,iis,15,100000,2
savings,273172.702557771,iis,15,100000,3
roi,1.6672396615838074,iis,15,100000,3
irr,0.11624625229002983,iis,15,100000,3
twr,0.11789151836754796,iis,15,100000,3
pension,1008.3633961387894,iis,15,100000,3
kz,0.12100360753665475,iis,15,100000,3
savings,141712.16324227783,iis,15,100000,4
roi,0.3836679096759549,iis,15,100000,4
irr,0.0399491007964099,iis,15,100000,4
twr,0.07040434963370568,iis,15,100000,4
pension,523.1026265186129,iis,15,100000,4
kz,0.06277231518223356,iis,15,100000,4
savings,106501.92168963903,iis,15,100000,5
roi,0.039877509376776664,iis,15,100000,5
irr,0.004914540479519225,iis,15,100000,5
twr,0.02493706712703614,iis,15,100000,5
pension,393.1309330864062,iis,15,100000,5
kz,0.047175711970368746,iis,15,100000,5
savings,151695.85088321823,iis,15,100000,6
roi,0.4811479557986042,iis,15,100000,6
